frame,sync_dt_ms,async_dt_ms
0,50.0,100.4
1,50.0,27.8
2,50.0,22.6
3,50.0,40.4
4,50.0,31.8
5,50.0,43.7
6,50.0,42.9
7,50.0,37.4
8,50.0,30.1
9,50.0,45.1
10,50.0,40.2
11,50.0,36.7
12,50.0,40.2
13,50.0,33.2
14,50.0,44.3
15,50.0,35.7
16,50.0,36.5
17,50.0,29.7
18,50.0,33.4
19,50.0,35.2
20,50.0,50.2
21,50.0,31.5
22,50.0,14.3
23,50.0,23.8
24,50.0,20.9
25,50.0,26.5
26,50.0,45.2
27,50.0,41.3
28,50.0,33.4
29,50.0,19.5
30,50.0,44.7
31,50.0,27.5
32,50.0,43.8
33,50.0,26.0
34,50.0,24.9
35,50.0,27.7
36,50.0,28.4
37,50.0,67.2
38,50.0,22.7
39,50.0,23.0
40,50.0,31.8
41,50.0,15.0
42,50.0,23.5
43,50.0,49.9
44,50.0,43.8
45,50.0,21.4
46,50.0,12.7
47,50.0,48.7
48,50.0,27.0
49,50.0,29.9
50,50.0,36.4
51,50.0,51.0
52,50.0,28.7
53,50.0,22.3
54,50.0,42.6
55,50.0,34.0
56,50.0,31.6
57,50.0,45.7
58,50.0,36.4
59,50.0,42.1
60,50.0,25.7
61,50.0,31.2
62,50.0,39.8
63,50.0,33.2
64,50.0,31.4
65,50.0,27.2
66,50.0,29.2
67,50.0,25.3
68,50.0,20.7
69,50.0,27.9
70,50.0,38.8
71,50.0,44.0
72,50.0,37.4
73,50.0,32.3
74,50.0,98.1
75,50.0,31.2
76,50.0,33.0
77,50.0,50.1
78,50.0,39.6
79,50.0,42.1
80,50.0,39.4
81,50.0,38.6
82,50.0,29.4
83,50.0,39.9
84,50.0,43.6
85,50.0,24.1
86,50.0,37.6
87,50.0,39.1
88,50.0,9.9
89,50.0,26.6
90,50.0,48.6
91,50.0,37.2
92,50.0,36.1
93,50.0,41.3
94,50.0,33.1
95,50.0,20.9
96,50.0,11.6
97,50.0,30.9
98,50.0,27.4
99,50.0,30.2
100,50.0,45.4
101,50.0,26.4
102,50.0,38.5
103,50.0,33.7
104,50.0,36.8
105,50.0,35.1
106,50.0,35.8
107,50.0,27.0
108,50.0,18.2
109,50.0,37.9
110,50.0,29.7
111,50.0,97.9
112,50.0,35.5
113,50.0,49.9
114,50.0,29.8
115,50.0,35.6
116,50.0,20.8
117,50.0,41.4
118,50.0,46.8
119,50.0,15.5
120,50.0,22.2
121,50.0,23.7
122,50.0,44.0
123,50.0,37.2
124,50.0,29.9
125,50.0,35.0
126,50.0,47.4
127,50.0,25.4
128,50.0,31.4
129,50.0,42.4
130,50.0,28.0
131,50.0,37.0
132,50.0,23.8
133,50.0,27.6
134,50.0,8.0
135,50.0,28.8
136,50.0,20.9
137,50.0,32.2
138,50.0,14.2
139,50.0,25.4
140,50.0,37.9
141,50.0,21.5
142,50.0,29.7
143,50.0,29.1
144,50.0,35.7
145,50.0,44.1
146,50.0,28.6
147,50.0,42.1
148,50.0,111.2
149,50.0,26.9
150,50.0,28.7
151,50.0,40.1
152,50.0,26.8
153,50.0,28.6
154,50.0,35.6
155,50.0,18.6
156,50.0,36.2
157,50.0,45.1
158,50.0,38.0
159,50.0,25.6
160,50.0,33.1
161,50.0,26.6
162,50.0,51.1
163,50.0,39.0
164,50.0,20.4
165,50.0,32.8
166,50.0,36.5
167,50.0,33.3
168,50.0,39.0
169,50.0,15.9
170,50.0,27.5
171,50.0,36.2
172,50.0,21.8
173,50.0,19.1
174,50.0,46.7
175,50.0,18.6
176,50.0,37.4
177,50.0,40.3
178,50.0,26.9
179,50.0,35.4
180,50.0,46.4
181,50.0,19.9
182,50.0,36.2
183,50.0,29.6
184,50.0,33.0
185,50.0,85.4
186,50.0,30.8
187,50.0,43.3
188,50.0,56.0
189,50.0,48.5
190,50.0,37.5
191,50.0,40.9
192,50.0,45.0
193,50.0,45.8
194,50.0,31.0
195,50.0,22.7
196,50.0,22.0
197,50.0,23.8
198,50.0,38.6
199,50.0,36.9
