t,x_ref,y_ref,x_sim,y_sim
0.0,0.000,0.000,0.062,-0.030
0.1,0.800,0.000,0.839,0.028
0.2,1.600,0.000,1.569,-0.010
0.3,2.400,0.000,2.495,-0.003
0.4,3.200,0.000,3.174,-0.082
0.5,4.000,0.000,4.047,0.135
0.6,4.800,0.000,4.953,-0.036
0.7,5.600,0.000,5.569,0.034
0.8,6.400,0.000,6.494,-0.017
0.9,7.200,0.000,7.138,0.082
1.0,8.000,0.000,7.985,-0.019
1.1,8.800,0.000,8.833,-0.027
1.2,9.600,0.000,9.536,0.046
1.3,10.400,0.000,10.488,-0.087
1.4,11.200,0.000,11.206,-0.014
1.5,12.000,0.000,12.073,-0.003
1.6,12.800,0.000,12.820,-0.058
1.7,13.600,0.000,13.675,0.093
1.8,14.400,0.000,14.452,-0.034
1.9,15.200,0.000,15.302,0.094
2.0,16.000,0.000,16.071,0.009
2.1,16.800,0.000,16.837,-0.032
2.2,17.600,0.000,17.639,0.051
2.3,18.400,0.000,18.515,-0.002
2.4,19.200,0.000,19.323,-0.004
2.5,20.000,0.000,20.050,-0.035
2.6,20.800,0.000,20.956,0.007
2.7,21.600,0.000,21.702,-0.048
2.8,22.400,0.000,22.549,0.032
2.9,23.200,0.000,23.362,-0.001
3.0,24.000,0.000,24.083,-0.024
3.1,24.800,0.000,24.965,0.011
3.2,25.600,0.000,25.725,0.040
3.3,26.400,0.000,26.528,-0.086
3.4,27.200,0.000,27.300,0.059
3.5,28.000,0.000,28.198,-0.092
3.6,28.800,0.000,29.036,0.030
3.7,29.600,0.000,29.719,0.017
3.8,30.400,0.000,30.584,-0.028
3.9,31.200,0.000,31.399,0.007
4.0,32.000,0.000,32.140,0.031
4.1,32.800,3.076,32.954,3.055
4.2,33.600,3.119,33.792,3.083
4.3,34.400,3.159,34.588,3.253
4.4,35.200,3.197,35.373,3.213
4.5,36.000,3.234,36.237,3.212
4.6,36.800,3.268,36.955,3.282
4.7,37.600,3.299,37.744,3.263
4.8,38.400,3.329,38.599,3.351
4.9,39.200,3.356,39.430,3.347
5.0,40.000,3.381,40.177,3.430
5.1,40.800,3.403,41.066,3.320
5.2,41.600,3.424,41.803,3.410
5.3,42.400,3.441,42.636,3.437
5.4,43.200,3.457,43.340,3.448
5.5,44.000,3.470,44.143,3.471
5.6,44.800,3.481,45.049,3.417
5.7,45.600,3.489,45.709,3.544
5.8,46.400,3.495,46.661,3.525
5.9,47.200,3.499,47.484,3.475
6.0,48.000,3.500,48.180,3.516
6.1,48.800,3.499,49.048,3.481
6.2,49.600,3.495,49.893,3.485
6.3,50.400,3.489,50.694,3.450
6.4,51.200,3.481,51.425,3.550
6.5,52.000,3.470,52.277,3.500
6.6,52.800,3.457,53.137,3.451
6.7,53.600,3.441,53.919,3.449
6.8,54.400,3.424,54.717,3.475
6.9,55.200,3.403,55.436,3.414
7.0,56.000,3.381,56.234,3.429
7.1,56.800,3.356,57.077,3.376
7.2,57.600,3.329,57.859,3.286
7.3,58.400,3.299,58.682,3.261
7.4,59.200,3.268,59.542,3.347
7.5,60.000,3.234,60.425,3.201
7.6,60.800,3.197,61.111,3.168
7.7,61.600,3.159,61.861,3.228
7.8,62.400,3.119,62.768,3.214
7.9,63.200,3.076,63.520,3.066
8.0,64.000,3.031,64.292,3.086
8.1,64.800,2.984,65.068,3.023
8.2,65.600,2.935,65.832,2.976
8.3,66.400,2.884,66.710,2.853
8.4,67.200,2.832,67.581,2.884
8.5,68.000,2.777,68.304,2.824
8.6,68.800,2.720,69.101,2.748
8.7,69.600,2.661,69.860,2.665
8.8,70.400,2.601,70.835,2.604
8.9,71.200,2.539,71.464,2.464
9.0,72.000,2.475,72.301,2.472
9.1,72.800,2.409,73.108,2.394
9.2,73.600,2.342,74.006,2.290
9.3,74.400,2.273,74.857,2.289
9.4,75.200,2.203,75.574,2.206
9.5,76.000,2.131,76.407,2.078
9.6,76.800,2.057,77.242,2.027
9.7,77.600,1.982,77.904,1.905
9.8,78.400,1.906,78.810,1.953
9.9,79.200,1.829,79.616,1.788
10.0,80.000,1.750,80.370,1.708
10.1,80.800,1.670,81.121,1.578
10.2,81.600,1.589,81.917,1.611
10.3,82.400,1.507,82.810,1.464
10.4,83.200,1.424,83.649,1.490
10.5,84.000,1.339,84.369,1.282
10.6,84.800,1.254,85.185,1.208
10.7,85.600,1.168,86.029,1.069
10.8,86.400,1.082,86.812,1.088
10.9,87.200,0.994,87.540,1.008
11.0,88.000,0.906,88.398,0.840
11.1,88.800,0.817,89.159,0.921
11.2,89.600,0.728,90.035,0.742
11.3,90.400,0.638,90.888,0.633
11.4,91.200,0.548,91.570,0.496
11.5,92.000,0.457,92.440,0.464
11.6,92.800,0.366,93.216,0.318
11.7,93.600,0.275,94.058,0.315
11.8,94.400,0.183,94.862,0.182
11.9,95.200,0.092,95.671,0.030
12.0,96.000,0.000,96.527,0.070
